"Area","Language","Information","2025"
"Akaa","Finnish","Population 31 Dec",15874
"Akaa","Swedish","Population 31 Dec",25
"Akaa","Sami","Population 31 Dec",...
"Akaa","Abkhaz","Population 31 Dec",...
"Akaa","Afar","Population 31 Dec",...
"Akaa","Avestan","Population 31 Dec",...
"Akaa","Afrikaans","Population 31 Dec",...
"Akaa","Aymara","Population 31 Dec",...
"Akaa","Akan","Population 31 Dec",...
"Akaa","Albanian","Population 31 Dec",...
"Akaa","Amharic","Population 31 Dec",...
"Akaa","Arabic","Population 31 Dec",18
"Akaa","Aragonese","Population 31 Dec",...
"Akaa","Armenian","Population 31 Dec",...
"Akaa","Assamese","Population 31 Dec",...
"Akaa","Avaric;  Avar;  Avarish","Population 31 Dec",...
"Akaa","Azerbaijani","Population 31 Dec",...
"Akaa","Bambara","Population 31 Dec",...
"Akaa","Basque","Population 31 Dec",...
"Akaa","Bashkir","Population 31 Dec",...
"Akaa","Bengali, (Bangla)","Population 31 Dec",...
"Akaa","Bihari languages","Population 31 Dec",...
"Akaa","Bislama","Population 31 Dec",...
"Akaa","Bosnian","Population 31 Dec",...
"Akaa","Bulgarian","Population 31 Dec",14
"Akaa","Burmese","Population 31 Dec",...
"Akaa","Cree","Population 31 Dec",...
"Akaa","Divehi, Dhivehi, Maldivian","Population 31 Dec",...
"Akaa","Dzongkha","Population 31 Dec",...
"Akaa","English","Population 31 Dec",42
"Akaa","Spanish; Castilian","Population 31 Dec",...
"Akaa","Esperanto","Population 31 Dec",...
"Akaa","Southern ndebele","Population 31 Dec",...
"Akaa","Sotho, Southern","Population 31 Dec",...
"Akaa","Ewe","Population 31 Dec",...
"Akaa","Fijian","Population 31 Dec",...
"Akaa","Fula, Fulah, Pulaar, Pular","Population 31 Dec",...
"Akaa","Faroese; Faeroese","Population 31 Dec",...
"Akaa","Galician","Population 31 Dec",...
"Akaa","Ganda","Population 31 Dec",...
"Akaa","Georgian","Population 31 Dec",...
"Akaa","Kalaallisut; Greenlandic","Population 31 Dec",...
"Akaa","Guaraní","Population 31 Dec",...
"Akaa","Gujarati","Population 31 Dec",...
"Akaa","Haitian","Population 31 Dec",...
"Akaa","Hausa","Population 31 Dec",...
"Akaa","Hebrew","Population 31 Dec",...
"Akaa","Herero","Population 31 Dec",...
"Akaa","Hindi","Population 31 Dec",...
"Akaa","Dutch","Population 31 Dec",...
"Akaa","Ido","Population 31 Dec",...
"Akaa","Igbo","Population 31 Dec",...
"Akaa","Irish","Population 31 Dec",...
"Akaa","Indonesian","Population 31 Dec",...
"Akaa","Icelandic","Population 31 Dec",...
"Akaa","Italian","Population 31 Dec",...
"Akaa","Javanese","Population 31 Dec",...
"Akaa","Japanese","Population 31 Dec",...
"Akaa","Yiddish","Population 31 Dec",...
"Akaa","Yoruba","Population 31 Dec",...
"Akaa","Kannada","Population 31 Dec",...
"Akaa","Kanuri","Population 31 Dec",...
"Akaa","Kashmiri","Population 31 Dec",...
"Akaa","Catalan; Valencian","Population 31 Dec",...
"Akaa","Luba-Katanga","Population 31 Dec",...
"Akaa","Kazakh","Population 31 Dec",...
"Akaa","Central Khmer","Population 31 Dec",...
"Akaa","Quechua","Population 31 Dec",...
"Akaa","Chinese","Population 31 Dec",...
"Akaa","Kikuyu; Gikuyu","Population 31 Dec",...
"Akaa","Kirghiz; Kyrgyz","Population 31 Dec",...
"Akaa","Komi","Population 31 Dec",...
"Akaa","Kongo","Population 31 Dec",...
"Akaa","Korean","Population 31 Dec",...
"Akaa","Greek (modern)","Population 31 Dec",...
"Akaa","Croatian","Population 31 Dec",...
"Akaa","Kuanyama;  Kwanyama","Population 31 Dec",...
"Akaa","Kurdish","Population 31 Dec",...
"Akaa","Welsh","Population 31 Dec",...
"Akaa","Lao","Population 31 Dec",...
"Akaa","Latin","Population 31 Dec",...
